"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9562","Scenario2: Email Testing with Mailosaur.com","chromium","Wed Sep 17 07:06:54 UTC 2025","failed","Wed Sep 17 07:07:04 UTC 2025","","booking2.spec.ts","",""
"","1564","Scenario2:Choose The flight and verify detail data is correct","chromium","Wed Sep 17 07:06:27 UTC 2025","passed","Wed Sep 17 07:06:29 UTC 2025","","bookFlight.spec.ts","",""
"","2171","Scenario4: Verify Confirmation page","chromium","Wed Sep 17 07:06:31 UTC 2025","passed","Wed Sep 17 07:06:33 UTC 2025","","bookFlight.spec.ts","",""
"","1043","Scenario1: Select City and Destination","chromium","Wed Sep 17 07:06:33 UTC 2025","passed","Wed Sep 17 07:06:34 UTC 2025","","booking2.spec.ts","",""
"","247","has title","chromium","Wed Sep 17 07:07:16 UTC 2025","passed","Wed Sep 17 07:07:16 UTC 2025","","example.spec.ts","",""
"","470","get started link","chromium","Wed Sep 17 07:07:16 UTC 2025","passed","Wed Sep 17 07:07:17 UTC 2025","","example.spec.ts","",""
"","5813","Scenario1: Verify Home Page","chromium","Wed Sep 17 07:07:05 UTC 2025","passed","Wed Sep 17 07:07:10 UTC 2025","","ecommerce.spec.ts","",""
"","40080","Contact Us: Fill and submit the form","chromium","Wed Sep 17 07:08:38 UTC 2025","broken","Wed Sep 17 07:09:18 UTC 2025","","niteco.spec.ts","",""
"","5438","Scenario2: Verify Product Detail","chromium","Wed Sep 17 07:07:10 UTC 2025","passed","Wed Sep 17 07:07:16 UTC 2025","","ecommerce.spec.ts","",""
"","1033","Scenario1: Select City and Destination","chromium","Wed Sep 17 07:06:23 UTC 2025","passed","Wed Sep 17 07:06:24 UTC 2025","","bookFlight.spec.ts","",""
"","3141","Visual test","chromium","Wed Sep 17 07:09:27 UTC 2025","failed","Wed Sep 17 07:09:30 UTC 2025","","visual.spec.ts","",""
"","1724","Scenario3: Input personal information for booking","chromium","Wed Sep 17 07:06:29 UTC 2025","passed","Wed Sep 17 07:06:31 UTC 2025","","bookFlight.spec.ts","",""
